NAME,christian_num,buddhist_num,jewish_num,muslim_num,hindu_num,sikh_num
Sou,137,1,0,7,1,1
Cro,116,0,2,3,1,0
Wes,105,3,9,5,1,0
Barn,103,0,21,4,2,0
Lam,101,0,0,3,0,0
Wal,101,0,2,12,3,1
Wan,91,1,0,5,2,1
Eal,90,1,1,9,6,12
Cam,85,1,5,6,0,0
Lew,82,0,1,0,1,0
Hac,81,0,8,9,0,0
Bre,79,1,4,9,9,0
Bro,77,0,1,0,0,0
Isl,74,2,0,5,0,0
New,74,0,0,11,4,3
Gre,71,0,0,1,0,0
Enf,71,0,1,3,0,1
Hari,71,0,2,3,1,0
Ric,68,0,1,0,0,0
Tow,68,1,4,16,1,2
Ken,64,0,2,3,0,1
Hou,63,0,1,2,0,1
Sut,60,0,1,1,0,0
Bex,58,0,0,1,0,1
Harr,57,0,4,1,3,0
Mer,55,2,0,5,2,0
Hav,54,0,1,0,0,0
Ham,51,0,0,2,0,0
Cit,47,0,1,0,0,0
Hil,46,0,0,0,0,0
Bark,46,0,1,0,0,1
Red,44,0,4,1,0,1
Kin,36,0,0,1,0,1
